Yield 2009-10
126.5
118.9
120
105
119
134.7
113.2
102.7
127.9
133.5
129.7
124.5
106.5
93.9
109.7
113.1
107.8
106.2
107.4
139.9
136.5
153.9
117.5
88.8
93.7
109.5
122.1
80.7
146.5
152
167.8
226.3
112.7
227
179.4
95.8
125
140.9
1172.1
95.2
188.4
112.6
117.4
105.1
185.6
144.7
125
140.6
127.4
147.1
108.8
147.1
159
106.6
109.6
113.1
107.8
106.2
107.4
139.9
136.5
153.9
117.5
88.8
126.5
118.9
120
105
119
134.7
113.2
102.7
127.9
133.5
129.7
147.1
159
106.6
109.6
113.1
107.8
122.1
80.7
